MFN,Code,TITRE/DOSSIER,CONTENU,ANA. DIPLOM.,DATE EXTREME,ANNEE,PASSAGE GED,SORT FINAL,OBSERVATIONS
00492,0486/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),NOVEMBRE 2014,2014,OUI,CONSERVATION,
00493,0487/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),DECEMBRE 2014,2014,OUI,CONSERVATION,
00494,0488/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),JANVIER 2014,2014,OUI,CONSERVATION,
00495,0489/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),FEVRIER 2014,2014,OUI,CONSERVATION,
00496,0490/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),MARS 2014,2014,OUI,CONSERVATION,
00497,0491/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),AVRIL 2014,2014,OUI,CONSERVATION,
00498,0492/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),MAI 2014,2014,OUI,CONSERVATION,
00499,0493/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),JUIN 2014,2014,OUI,CONSERVATION,
00500,0494/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),JUILLET  2014,2014,OUI,CONSERVATION,
00501,0495/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),AOUT 2014,2014,OUI,CONSERVATION,
00502,0496/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),SEPTEMBRE 2014,2014,OUI,CONSERVATION,
00503,0497/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),OCTOBRE 2014,2014,OUI,CONSERVATION,
00504,0498/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),NOVEMBRE 2014,2014,OUI,CONSERVATION,
00505,0499/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),DECEMBRE 2014,2014,OUI,CONSERVATION,
00506,0500/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ PETROFA,"LIVRAISON, SOTIE GAZ, PETROFA BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),JANVIER - DECEMBRE 2014,2014,OUI,CONSERVATION,
00507,0501/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ STD SODIGAZ,"LIVRAISON, SOTIE GAZ, STD SODIGAZ, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),MARS 2015,2015,OUI,CONSERVATION,
00508,0502/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ STD SODIGAZ,"LIVRAISON, SOTIE GAZ, STD SODIGAZ, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),AVRIL 2015,2015,OUI,CONSERVATION,
00509,0503/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ STD SODIGAZ,"LIVRAISON, SOTIE GAZ, STD SODIGAZ, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),MAI 2015,2015,OUI,CONSERVATION,
00510,0504/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ STD SODIGAZ,"LIVRAISON, SOTIE GAZ, STD SODIGAZ, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),SEPTEMBRE 2015,2015,OUI,CONSERVATION,
00511,0506/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ STD SODIGAZ,"LIVRAISON, SOTIE GAZ, STD SODIGAZ, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),DECEMBRE 2015,2015,OUI,CONSERVATION,
00512,0507/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX BURKINA, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),JANVIER 2015,2015,OUI,CONSERVATION,
00513,0508/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX BURKINA, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),FEVRIER 2015,2015,OUI,CONSERVATION,
