reference,cote,auteur,titre,publication,pagination,descripteurs
043AN.0024,043AN.0024,BCEAO,Note d'information et statistiques Octobre 1988 N° 375,"Dakar : BCEAO, 1988",Mult pag,/ANNUAIRE//STATISTIQUE//BCEAO/
044AN.0025,044AN.0025,BCEAO,Note d'information et statistiques Juillet 1988 N°373,"Dakar : BCEAO, 1988",Mult pag,/ANNUAIRE//STATISTIQUE//BCEAO/
045AN.0026,045AN.0026,BCEAO,Note d'information et statistiques Juin 1988 N°372,"Dakar : BCEAO, 1988",Mult pag,/ANNUAIRE//STATISTIQUE//BCEAO/
046AN.0027,046AN.0027,BCEAO,Note d'information et statistiques Mai 1988 N°371,"Dakar : BCEAO, 1988",Mult pag,/ANNUAIRE//STATISTIQUE//BCEAO/
047AN.0028,047AN.0028,BCEAO,Note d'information et statistiques Aout - Septembre 1988 N°374,"Dakar : BCEAO, 1988",Mult pag,/ANNUAIRE//STATISTIQUE//BCEAO/
048CM.0016,048CM.0016,JM BRUNEAU,Le N°1 de l'équipement de bureau par correspondance Septembre 1996,"s.l. : s.n., 1996",no pag,/CATALOGUE//EQUIPEMENT//BUREAU/
049RE.0001,049RE.0001,SOCIETE GENERALE DE SURVEILLANCE,Redwood products tables,"Genève : SGS, s.d.",no pag,/REPERTOIRE//COMMERCE/
050RE.0002,050RE.0002,D.E.R. LTD,ECOWAS FINANCIAL DIRECTORY,"s.l. : DER LTD, s.d.",482p,/REPERTOIRE//FINANCE//CEDEAO/
051AN.0029,051AN.0029,FRANCE AFRIQUE,L'annuaire des sociétés et fournisseurs,"s.l. : IC PUBLICATION, 1992",1225p,/ANNUAIRE//SOCIETE//COMMERCE/
052CE.0011,052CE.0011,EDITION TECHNIP,Listes des prix octobre1985,"s.l. : éd. TECHNIP, 1985",37p,/CATALOGUE//LIVRE//EDITION/
053RE.0003,053RE.0003,ECOLE NATIONALE SUPERIEURE DU PETROLE ET DES MOTEURS,Repertoires des stages de formation,"s.l. : s.n., 1992",177p,/REPERTOIRE//STAGE//PETROLE/
055CE.0012,055CE.0012,AFNOR,Catalogue,"s.l. : AFNOR, 1986",30p,/CATALOGUE//AFNOR/
056AN.0030,056AN.0030,HELIOSCOPE,L'annuaire professionnel du Faso 1996/1997,"s.l. : s.n., 1997",232p,/ANNUAIRE//BURKINA FASO//COMMERCE//ENTREPRISE/
057CM.0017,057CM.0017,INMAC,Idées pour l'informatique,"Paris : INMAC, 1991",145p,/CATALOGUE//MATERIEL//INFORMATIQUE/
058CM.0018,058CM.0018,MANUTAN,Matériel de manutention et d'équipement industriel,"Paris : MANUTAN, s.d.",664p,/CATALOGUE//EQUIPEMENT//INDUSTRIE//MANUTENTION/
059CM.0019,059CM.0019,JM BRUNEAU,Le N°1 de l'équipement de bureau par correspondance Janvier 1994,"Paris : JM BRUNEAU, 1994",239p,/CATALOGUE//EQUIPEMENT//BUREAU/
