cote,auteur,titre,adresse,description_tech,descrip_matiere
PHO.053,SONABHY,CEREMONIE DE PASSATION DE CHARGE ENTRE HILAIRE KABORE,,54 PHOTOS  EN COUL.,/CEREMONIE DE PASSATION//PASSATION//HILAIRE
PHO.054,SONABHY,ATELIER SUR LA CHAINE LOGISTIQUE DU GAZ BUTANE,,120 PHOTOS  EN COUL.,/GAZ BUTANE//CONSOMMATEUR//ECONOMIE//LOGISTIQUE/
PHO.055,SONABHY,CEREMONIE DE LANCEMENT DES TRAVAUX D'EXTENSION DES,,120 PHOTOS  EN COUL.,/EXTENSION//DEPOT BINGO//LANCEMENT//DEPOT BOBO/
PHO.056,SONABHY,PASSATION DE FONCTION ENTRE LE PCA SORTANT SEYDOU,,77 PHOTOS  EN COUL.,/PASSATION CHARGE//ILBOUDO SEYDOU//YONLI HONORE
PHO.057,SONABHY,CEREMONIE DE POT D'AUREVOIR AUX RETRAITES DE LA,,90 PHOTOS  EN COUL.,/RETRAITE//DEPART A LA
PHO.058,SONABHY,SIGNATURE DE CONVENTION CADRE DE PARTENARIAT SONABHY,,58 PHOTOS  EN COUL.,/PARTENARIAT//SONABHY//CMABF//SIGNATURE
REL.015,SONABHY,DONNEES INFORMATIQUES: DISQUE DUR HDD0224-01 DU,,DISQUE DUR EXTERNE,/BASE DE DONNEE//INFORMATIQUE//SAUVEGARDE/
REL.016,SONABHY,DONNEES INFORMATIQUES : DISQUE DUR HDD0224-02 DU,,DISQUE DUR,/BASE DE DONNEE//INFORMATIQUE//SAUVEGARDE/
REL.017,SONABHY,DONNEES INFORMATIQUES : DISQUE DUR HDD0224-02 DU,,DISQUE DUR,/BASE DE DONNEE//INFORMATIQUE//SAUVEGARDE//JDE//DONNEE
REL.019,SONABHY,DONNEES INFORMATIQUES : DISQUE DUR HDD0424-01,,DISQUE DUR,/GED//GAZBUTANE//RESSOURCE HUMAINE//CONTRAT/DONNE
REL.020,SONABHY,DISQUE DUR :,,DISQUE DUR,/GED// INFORMATIQUE//BASE DE DONNEE//SERVEUR/
REL.021,SONABHY,DISQUE DUR :  HDD0624-02:172.20.10.201;,,DISQUE DUR,/ INFORMATIQUE//BASE DE DONNEE//MAARCH/
REL.022,SONABHY,DISQUE DUR :  HDD0624-03:172.20.10.100;,,DISQUE DUR,/ INFORMATIQUE//BASE DE DONNEE//WEB//SERVEUR/
REL.023,SONABHY,DISQUE DUR :  HDD0624-04:192.20.168.0.100;,,DISQUE DUR,/ INFORMATIQUE//BASE DE
REL.024,SONABHY,DISQUE DUR :  HDD0624-05:DOCUBASE(13-04-2024,,DISQUE DUR,/ INFORMATIQUE//BASE DE DONNEE//JDE//DISQUE
REL.025,SONABHY,[DONNEES INFORMATIQUES]:DISQUE DUR HDD 1224-01: GEDBDD,,DISQUE DUR,/BASE DE DONNEE/ /ARCHIVAGE ELECTRONIQUE/ /DOCUBASE/
REL.026,SONABHY,[DONNEES INFORMATIQUES]:DISQUE DUR HDD 1224-02: GEDBDD,,1 disque dur,/BASE DE DONNEE/ /ARCHIVAGE ELECTRONIQUE/ /DOCUBASE/
